SENSOR_ID,WRITE_COUNTER,TYPE,UNIT,VALUE
1,3,soil_humidity,percentage,59.00
2,3,soil_humidity,percentage,55.00
3,3,atmospheric_humidity,percentage,55.00
4,3,atmospheric_humidity,percentage,57.00
5,3,atmospheric_humidity,percentage,55.00
6,3,atmospheric_humidity,percentage,59.00
7,3,atmospheric_temperature,celsius,12.30
8,3,atmospheric_temperature,celsius,11.90
9,3,atmospheric_temperature,celsius,11.40
10,3,atmospheric_temperature,celsius,11.50
